year,mean_elevation,mean_slope
1995,3869.097442,30.22759555
1996,3869.097442,30.22759555
1997,3869.097442,30.22759555
1998,3869.097442,30.22759555
1999,3869.097442,30.22759555
2000,3869.097442,30.22759555
2001,3869.097442,30.22759555
2002,3869.097442,30.22759555
2003,3869.097442,30.22759555
2004,3869.097442,30.22759555
2005,3869.097442,30.22759555
2006,3869.097442,30.22759555
2007,3869.097442,30.22759555
2008,3869.097442,30.22759555
2009,3869.097442,30.22759555
2010,3869.097442,30.22759555
2011,3869.097442,30.22759555
2012,3869.097442,30.22759555
2013,3869.097442,30.22759555
2014,3869.097442,30.22759555
2015,3869.097442,30.22759555
2016,3869.097442,30.22759555
2017,3869.097442,30.22759555
2018,3869.097442,30.22759555
2019,3869.097442,30.22759555